stock_id,name,entry_date,exit_date,entry_price,exit_price,realized_pnl_pct,stoploss_triggered,exit_reason,score
6220,岳豐,2016-10-03,2016-11-01,29.95,36.4,0.20951643155258767,False,Normal Rebalance Exit,0.1650812367977735
6283,淳安,2016-10-03,2016-11-01,6.36,19.65,2.0837801415094335,False,Normal Rebalance Exit,0.20399901466670156
6548,長科*,2016-10-03,2016-11-01,223.0,323.0,0.4425879932735426,False,Normal Rebalance Exit,0.09974960931259037
1471,首利,2016-11-01,2016-11-09,5.13,4.74,-0.08186589181286544,True,Stop Loss / Trailing Stop,0.2749111095305163
1475,業旺,2016-11-01,2016-11-07,8.0,0.0,-0.5,True,Stop Loss / Trailing Stop,0.13266712648905432
1609,大亞,2016-11-01,2016-12-01,5.2,5.68,0.0864651923076922,False,Normal Rebalance Exit,0.1964101783334656
1616,億泰,2016-11-01,2016-12-01,5.12,5.3,0.02931375,False,Normal Rebalance Exit,0.1890983923908193
2349,錸德,2016-11-01,2016-11-03,5.35,4.97,-0.07687053738317753,True,Stop Loss / Trailing Stop,0.2717440304386816
2371,大同,2016-11-01,2016-12-01,8.23,9.81,0.18613805893074128,False,Normal Rebalance Exit,0.14225155365285166
2415,錩新,2016-11-01,2016-12-01,23.35,23.2,-0.012266482869379064,False,Normal Rebalance Exit,0.19955539060619518
2812,台中銀,2016-11-01,2016-12-01,8.98,9.2,0.018656386414253684,False,Normal Rebalance Exit,0.14379645659197543
3005,神基,2016-11-01,2016-11-09,41.45,36.8,-0.11802585343787711,True,Stop Loss / Trailing Stop,0.14788241891318527
3008,大立光,2016-11-01,2016-11-09,3650.0,3340.0,-0.09077400684931505,True,Stop Loss / Trailing Stop,0.1547046463152404
3024,憶聲,2016-11-01,2016-11-14,7.84,7.23,-0.08364862244897955,True,Stop Loss / Trailing Stop,0.26924301182961463
3313,斐成,2016-11-01,2016-11-09,18.4,16.5,-0.1091033695652173,True,Stop Loss / Trailing Stop,0.16082363076130368
5302,太欣,2016-11-01,2016-11-09,6.55,5.78,-0.12339975190839683,True,Stop Loss / Trailing Stop,0.16105322529494598
5314,世紀*,2016-11-01,2016-11-17,5.0,4.54,-0.09784249999999997,True,Stop Loss / Trailing Stop,0.1960744214303979
5340,建榮,2016-11-01,2016-12-01,5.06,4.96,-0.025605345849802258,False,Normal Rebalance Exit,0.16843535874918658
6116,彩晶,2016-11-01,2016-11-03,7.95,7.23,-0.09640853773584904,True,Stop Loss / Trailing Stop,0.15188702684424762
6124,業強,2016-11-01,2016-11-30,29.75,26.9,-0.10164081932773109,True,Stop Loss / Trailing Stop,0.13088835425213202
6283,淳安,2016-11-01,2016-11-08,19.65,18.1,-0.0847229071246818,True,Stop Loss / Trailing Stop,0.17677936190871624
8068,全達,2016-11-01,2016-12-01,28.45,45.0,0.5758798198594026,False,Normal Rebalance Exit,0.14489422317153122
8085,福華,2016-11-01,2016-12-01,4.4,4.31,-0.026297045454545614,False,Normal Rebalance Exit,0.1787051347272805
1609,大亞,2016-12-01,2017-01-03,5.68,5.47,-0.0428143309859155,False,Normal Rebalance Exit,0.1772527952051528
1903,士紙,2016-12-01,2017-01-03,31.9,32.5,0.012966277429467182,False,Normal Rebalance Exit,0.42521927783311336
2321,東訊,2016-12-01,2017-01-03,2.34,2.67,0.13518314102564097,False,Normal Rebalance Exit,0.1445169233362833
